year,week,woy,month,start_date,end_date,gov_name,AR1yr_0Lag,AR1yr_0LagCAT,AR1yr_1wkL,AR1yr_1wkLCAT,AR1yr_2wkL,AR1yr_2wkLCAT,AR1yr_3wkL,AR1yr_3wkLCAT,AR1yr_4wkL,AR1yr_4wkLCAT,AR6mo_0Lag,AR6mo_0LagCAT,AR6mo_1wkL,AR6mo_1wkLCAT,AR3mo_0Lag,AR3mo_0LagCAT,AR3mo_1wkL,AR3mo_1wkLCAT,AR3mo_2wkL,AR3mo_2wkLCAT,AR3mo_3wk,AR3mo_3wkLCAT,AR3mo_4wk,AR3mo_4wkLCAT,AR2mo_0Lag,AR2mo_0LagCAT,AR2mo_1wkL,AR2mo_1wkCAT,AR1mo_0Lag,AR1mo_0LagCAT,AR1mo_1wkL,AR1mo_1wkCAT
2016,1,37,September,9/12/16,9/18/16,Abyan,21,Intermediate,21,Intermediate,22,Intermediate,22,Intermediate,20,Intermediate,17,Medium,17,Medium,4,Intermediate,4,Intermediate,4,Intermediate,4,Intermediate,4,Intermediate,4,Medium,4,Medium,0,Low,2,Medium
2016,2,38,September,9/19/16,9/25/16,Abyan,21,Intermediate,21,Intermediate,21,Intermediate,22,Intermediate,22,Intermediate,16,Medium,17,Medium,4,Intermediate,4,Intermediate,4,Intermediate,4,Intermediate,4,Intermediate,2,Intermediate,4,Medium,0,Low,0,Low
2016,3,39,September,9/26/16,10/2/16,Abyan,20,Intermediate,21,Intermediate,21,Intermediate,21,Intermediate,22,Intermediate,16,Medium,16,Medium,4,Intermediate,4,Intermediate,4,Intermediate,4,Intermediate,4,Intermediate,2,Intermediate,2,Intermediate,0,Low,0,Low
2016,4,40,October,10/3/16,10/9/16,Abyan,19,Intermediate,20,Intermediate,21,Intermediate,21,Intermediate,21,Intermediate,15,Medium,16,Medium,4,Intermediate,4,Intermediate,4,Intermediate,4,Intermediate,4,Intermediate,2,Intermediate,2,Intermediate,0,Low,0,Low
2016,5,41,October,10/10/16,10/16/16,Abyan,19,Intermediate,19,Intermediate,20,Intermediate,21,Intermediate,21,Intermediate,5,Intermediate,15,Medium,4,Intermediate,4,Intermediate,4,Intermediate,4,Intermediate,4,Intermediate,0,Low,2,Intermediate,0,Low,0,Low
2016,6,42,October,10/17/16,10/23/16,Abyan,19,Intermediate,19,Intermediate,19,Intermediate,20,Intermediate,21,Intermediate,4,Intermediate,5,Intermediate,4,Intermediate,4,Intermediate,4,Intermediate,4,Intermediate,4,Intermediate,0,Low,0,Low,0,Low,0,Low
2016,7,43,October,10/24/16,10/30/16,Abyan,18,Intermediate,19,Intermediate,19,Intermediate,19,Intermediate,20,Intermediate,4,Intermediate,4,Intermediate,2,Intermediate,4,Intermediate,4,Intermediate,4,Intermediate,4,Intermediate,0,Low,0,Low,0,Low,0,Low
2016,8,44,October,10/31/16,11/6/16,Abyan,18,Intermediate,19,Intermediate,19,Intermediate,19,Intermediate,19,Intermediate,4,Intermediate,4,Intermediate,2,Intermediate,2,Intermediate,4,Intermediate,4,Intermediate,4,Intermediate,0,Low,0,Low,0,Low,0,Low
2016,9,45,November,11/7/16,11/13/16,Abyan,18,Intermediate,19,Intermediate,18,Intermediate,19,Intermediate,19,Intermediate,4,Intermediate,4,Intermediate,2,Intermediate,2,Intermediate,2,Intermediate,4,Intermediate,4,Intermediate,0,Low,0,Low,0,Low,0,Low
2016,10,46,November,11/14/16,11/20/16,Abyan,18,Intermediate,19,Intermediate,18,Intermediate,18,Intermediate,19,Intermediate,4,Intermediate,4,Intermediate,0,Low,2,Intermediate,2,Intermediate,2,Intermediate,4,Intermediate,0,Low,0,Low,0,Low,0,Low
